u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
1,113,99,103.5,15,-72.15,0,-15,0,15,0,0,0,0
0,114,99,103.5,15,-71.85,0,-15,0,15,0,0,0,0
0,115,99,103.5,15,-71.55,0,-15,0,15,0,0,0,0
0,115,99,103.5,15,-71.1,0,-15,0,15,0,0,0,0
-1,115,99,103.5,15,-70.65,0,-15,0,15,0,0,0,0
-2,115,99,103.5,15,-70.2,0,-15,0,15,0,0,0,0
-2,114,99,103.5,15,-69.75,0,-15,0,15,0,0,0,0
-3,114,99,103.5,15,-69.3,0,-15,0,15,0,0,0,0
-4,114,99,103.5,15,-68.85,0,-15,0,15,0,0,0,0
-4,113,99,103.5,15,-68.4,0,-15,0,15,0,0,0,0
-5,112,99,103.5,15,-67.8,0,-15,0,15,0,0,0,0
-6,111,99,103.5,15,-67.2,0,-15,0,15,0,0,0,0
-6,111,99,103.5,15,-66.75,0,-15,0,15,0,0,0,0
-7,109,99,103.5,15,-66.15,0,-15,0,15,0,0,0,0
-8,108,99,103.5,15,-65.55,0,-15,0,15,0,0,0,0
-8,106,99,103.5,15,-64.95,0,-15,0,15,0,0,0,0
-9,105,99,103.5,15,-64.5,0,-15,0,15,0,0,0,0
-10,104,99,103.5,15,-64.05,0,-15,0,15,0,0,0,0
-10,103,99,103.5,15,-63.3,0,-15,0,15,0,0,0,0
-11,101,99,103.5,15,-62.7,0,-15,0,15,0,0,0,0
-12,99,99,103.5,15,-62.25,0,-15,0,15,0,0,0,0
-12,97,99,103.5,15,-61.8,0,-15,0,15,0,0,0,0
-13,95,99,103.5,15,-61.2,0,-15,0,15,0,0,0,0
-14,94,99,103.5,15,-60.75,0,-15,0,15,0,0,0,0
-14,92,99,103.5,15,-60.3,0,-15,0,15,0,0,0,0
-15,91,99,103.5,15,-59.85,0,-15,0,15,0,0,0,0
-16,89,99,103.5,15,-59.4,0,-15,0,15,0,0,0,0
-16,87,99,103.5,15,-58.95,0,-15,0,15,0,0,0,0
-17,86,99,103.5,15,-58.65,0,-15,0,15,0,0,0,0
-18,84,99,103.5,15,-58.2,0,-15,0,15,0,0,0,0
-18,82,99,103.5,15,-57.9,0,-15,0,15,0,0,0,0
-19,81,99,103.5,15,-57.6,0,-15,0,15,0,0,0,0
-20,80,99,103.5,15,-57.3,0,-15,0,15,0,0,0,0
-20,78,99,103.5,15,-57,0,-15,0,15,0,0,0,0
-21,77,99,103.5,15,-56.7,0,-15,0,15,0,0,0,0
-22,76,99,103.5,15,-56.55,0,-15,0,15,0,0,0,0
-22,75,99,103.5,15,-56.4,0,-15,0,15,0,0,0,0
-23,73,99,103.5,15,-56.1,0,-15,0,15,0,0,0,0
-24,72,99,103.5,15,-55.95,0,-15,0,15,0,0,0,0
-26,71,99,103.65,15,-55.8,0,15,0,15,0,3000,0,0
-27,70,99,103.65,15,-55.8,0,15,0,15,0,0,0,0
-27,69,99,103.65,15,-55.65,0,15,0,15,0,0,0,0
-27,68,99,103.5,15,-55.5,0,-15,0,15,0,-3000,0,0
-27,68,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-28,71,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-29,71,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-29,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-30,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-31,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-31,69,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-32,69,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-33,69,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-33,68,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-34,68,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-35,67,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-35,71,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-36,71,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-37,71,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-37,71,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-38,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-39,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-39,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-40,70,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-41,69,99,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-48,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-48,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-49,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-50,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-51,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-52,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-53,73,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-53,77,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-54,77,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-55,77,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-56,77,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-57,77,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-58,77,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-58,82,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-59,82,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-60,82,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-61,82,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-62,83,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-62,83,98,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-69,87,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
-70,87,97,103.5,15,-55.5,0,-15,0,15,0,0,0,0
