u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
19,-104,1.91,1.57,-1.04,0,0,0,0,0,0,0,0,0
19,-104,1.91,1.57,-1.04,0,0,0,0,0,0,0,0,0
19,-104,1.91,1.57,-1.04,0,0,0,0,0,0,0,0,0
19,-104,1.91,1.57,-1.04,0,0,0,0,0,0,0,0,0
19,-104,1.91,1.57,-1.04,0,0,0,0,0,0,0,0,0
20,-104,1.91,1.57,-1.04,0,0,0,0,0,0,0,0,0
23,-87,1.91,1.57,-1.04,-0.01,0,0.26,0,-0.26,0,26.18,0,-26.18
24,-85,1.91,1.58,-1.04,-0.03,0,0.26,0,-0.26,0,0,0,0
23,-82,1.91,1.58,-1.04,-0.05,0,0.26,0,-0.26,0,0,0,0
23,-79,1.91,1.59,-1.04,-0.08,0,0.26,0,-0.26,0,0,0,0
24,-76,1.91,1.59,-1.04,-0.1,0,0.26,0,-0.26,0,0,0,0
24,-72,1.91,1.59,-1.04,-0.13,0,0.26,0,-0.26,0,0,0,0
25,-69,1.91,1.6,-1.04,-0.15,0,0.26,0,-0.26,0,0,0,0
25,-65,1.91,1.6,-1.04,-0.18,0,0.26,0,-0.26,0,0,0,0
25,-62,1.91,1.6,-1.04,-0.2,0,0.26,0,-0.26,0,0,0,0
26,-58,1.91,1.61,-1.04,-0.23,0,0.26,0,-0.26,0,0,0,0
27,-55,1.91,1.61,-1.04,-0.26,0,0.26,0,-0.26,0,0,0,0
27,-51,1.91,1.62,-1.04,-0.29,0,0.26,0,-0.26,0,0,0,0
27,-48,1.91,1.62,-1.04,-0.32,0,0.26,0,-0.26,0,0,0,0
27,-45,1.91,1.62,-1.04,-0.34,0,0.26,0,-0.26,0,0,0,0
27,-41,1.91,1.63,-1.04,-0.37,0,0.26,0,-0.26,0,0,0,0
27,-39,1.91,1.63,-1.04,-0.39,0,0.26,0,-0.26,0,0,0,0
27,-35,1.91,1.64,-1.04,-0.42,0,0.26,0,-0.26,0,0,0,0
26,-32,1.91,1.64,-1.04,-0.44,0,0.26,0,-0.26,0,0,0,0
26,-29,1.91,1.65,-1.04,-0.47,0,0.26,0,-0.26,0,0,0,0
26,-26,1.91,1.65,-1.04,-0.49,0,0.26,0,-0.26,0,0,0,0
26,-23,1.91,1.66,-1.04,-0.52,0,0.26,0,-0.26,0,0,0,0
26,-19,1.91,1.66,-1.04,-0.54,0,0.26,0,-0.26,0,0,0,0
26,-16,1.91,1.67,-1.04,-0.57,0,0.26,0,-0.26,0,0,0,0
25,-13,1.91,1.67,-1.04,-0.6,0,0.26,0,-0.26,0,0,0,0
25,-10,1.91,1.68,-1.04,-0.62,0,0.26,0,-0.26,0,0,0,0
24,-7,1.91,1.68,-1.04,-0.65,0,0.26,0,-0.26,0,0,0,0
23,-4,1.91,1.69,-1.04,-0.67,0,0.26,0,-0.26,0,0,0,0
21,-1,1.91,1.7,-1.04,-0.69,0,0.26,0,-0.26,0,0,0,0
21,1,1.91,1.7,-1.04,-0.72,0,0.26,0,-0.26,0,0,0,0
20,4,1.91,1.71,-1.04,-0.74,0,0.26,0,-0.26,0,0,0,0
19,6,1.91,1.72,-1.04,-0.76,0,0.26,0,-0.26,0,0,0,0
18,8,1.91,1.72,-1.04,-0.78,0,0.26,0,-0.26,0,0,0,0
17,10,1.91,1.73,-1.04,-0.8,0,0.26,0,-0.26,0,0,0,0
16,12,1.91,1.73,-1.04,-0.81,0,0.26,0,-0.26,0,0,0,0
13,13,1.91,1.74,-1.04,-0.82,0,0.26,0,-0.26,0,0,0,0
12,15,1.91,1.75,-1.04,-0.84,0,0.26,0,-0.26,0,0,0,0
11,16,1.91,1.75,-1.04,-0.85,0,0.26,0,-0.26,0,0,0,0
8,16,1.91,1.76,-1.04,-0.85,0,0.26,0,-0.26,0,0,0,0
6,17,1.91,1.76,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
5,17,1.91,1.77,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
3,17,1.91,1.78,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
1,17,1.91,1.78,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
-10,-14,1.91,1.79,-1.04,-0.86,0,0.26,0,0.26,0,0,0,52.36
-12,-14,1.91,1.79,-1.04,-0.86,0,0.26,0,0.26,0,0,0,0
-5,17,1.91,1.8,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,-52.36
-7,17,1.91,1.81,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
-10,16,1.91,1.81,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
-21,-14,1.91,1.82,-1.04,-0.86,0,0.26,0,0.26,0,0,0,52.36
-24,-15,1.91,1.83,-1.04,-0.86,0,0.26,0,0.26,0,0,0,0
-18,16,1.91,1.84,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,-52.36
-21,16,1.91,1.84,-1.04,-0.86,0,0.26,0,-0.26,0,0,0,0
-33,-15,1.91,1.85,-1.04,-0.86,0,0.26,0,0.26,0,0,0,52.36
-34,-16,1.91,1.85,-1.04,-0.86,0,0.26,0,0.26,0,0,0,0
-35,-16,1.91,1.86,-1.04,-0.86,0,0.26,0,0.26,0,0,0,0
-35,-16,1.91,1.86,-1.04,-0.85,0,0.26,0,0.26,0,0,0,0
-35,-16,1.91,1.86,-1.04,-0.85,0,0.26,0,0.26,0,0,0,0
-34,-16,1.91,1.85,-1.04,-0.85,0,-0.26,0,0.26,0,-52.36,0,0
-24,15,1.91,1.85,-1.04,-0.86,0,-0.26,0,-0.26,0,0,0,-52.36
-22,16,1.91,1.85,-1.04,-0.86,0,-0.26,0,-0.26,0,0,0,0
-20,17,1.91,1.84,-1.04,-0.87,0,-0.26,0,-0.26,0,0,0,0
-18,18,1.91,1.84,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-16,18,1.91,1.83,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-14,18,1.91,1.83,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-13,18,1.91,1.82,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-12,18,1.91,1.82,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-11,18,1.91,1.82,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-10,18,1.91,1.82,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-10,18,1.91,1.82,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-9,18,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-9,18,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-9,18,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-9,18,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-8,18,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-8,18,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
-7,19,1.91,1.81,-1.04,-0.88,0,-0.26,0,-0.26,0,0,0,0
